Date,Open,High,Low,Close,Adj Close,Volume
2024-07-25,824.960022,848.580017,822.429993,836.539978,818.692383,587500
2024-07-26,841.969971,857.650024,841.099976,856.200012,837.932922,555800
2024-07-29,858.000000,865.169983,852.369995,862.150024,843.756042,612700
2024-07-30,868.130005,873.890015,865.179993,872.590027,853.973206,539600
2024-07-31,875.320007,885.099976,871.900024,876.500000,857.799805,656800
2024-08-01,880.000000,884.669983,860.320007,865.349976,846.887634,586500
2024-08-02,855.000000,858.200012,839.289978,846.020020,827.970154,479800
2024-08-05,824.690002,848.919983,813.179993,830.760010,813.035706,1328800
2024-08-06,834.520020,852.229980,829.500000,840.960022,823.018127,525100
2024-08-07,852.260010,856.400024,838.469971,839.840027,821.921997,750900
2024-08-08,846.200012,855.789978,843.619995,854.830017,836.592163,381500
2024-08-09,853.419983,862.210022,849.799988,856.210022,837.942749,290400
2024-08-12,854.140015,857.000000,835.450012,838.270020,820.385498,510300
2024-08-13,844.479980,856.210022,843.700012,854.590027,836.357239,385800
2024-08-14,856.030029,859.619995,851.380005,857.520020,839.224792,325100
2024-08-15,864.520020,875.830017,863.030029,872.059998,853.454529,520800
2024-08-16,872.250000,874.869995,868.700012,872.489990,853.875366,395200
2024-08-19,873.590027,877.020020,866.309998,870.210022,851.644043,456000
2024-08-20,869.450012,871.989990,859.729980,860.969971,842.601135,348700
2024-08-21,861.880005,864.919983,853.760010,863.090027,844.675964,453700
2024-08-22,863.090027,868.739990,858.979980,865.239990,846.780029,327400
2024-08-23,869.500000,884.659973,867.030029,882.840027,864.004578,416300
2024-08-26,882.760010,889.000000,878.780029,883.140015,864.298218,413800
2024-08-27,883.500000,888.000000,878.700012,886.130005,867.224365,300400
2024-08-28,886.440002,895.440002,883.710022,888.659973,869.700378,441200
2024-08-29,888.659973,898.659973,884.780029,894.869995,875.777832,417900
2024-08-30,898.289978,903.460022,889.960022,901.809998,882.569824,478200
2024-09-03,899.070007,900.000000,881.010010,886.429993,867.517883,433500
2024-09-04,880.330017,890.700012,879.179993,886.489990,867.576721,356600
2024-09-05,889.700012,889.700012,873.140015,876.640015,857.936890,426000
2024-09-06,878.140015,884.760010,861.109985,866.919983,848.424133,748900
2024-09-09,873.440002,884.010010,870.919983,877.940002,864.293640,394800
2024-09-10,886.219971,886.219971,869.320007,883.830017,870.092163,269900
2024-09-11,878.440002,878.489990,854.159973,877.119995,863.486389,431900
2024-09-12,880.830017,886.469971,874.380005,885.119995,871.362061,478700
2024-09-13,888.140015,892.140015,882.679993,885.729980,871.962524,406900
2024-09-16,888.340027,895.900024,886.599976,895.179993,881.265686,380900
2024-09-17,897.349976,908.880005,895.190002,904.520020,890.460510,416900
2024-09-18,911.809998,930.500000,905.750000,922.710022,908.367798,656300
2024-09-19,938.250000,942.729980,925.719971,934.869995,920.338745,625500
2024-09-20,930.669983,931.789978,924.630005,928.789978,914.353271,970100
2024-09-23,929.969971,939.460022,928.789978,937.609985,923.036133,396500
2024-09-24,934.000000,942.159973,930.000000,941.229980,926.599854,366500
2024-09-25,942.719971,942.840027,934.609985,936.799988,922.238770,476800
2024-09-26,945.000000,952.750000,939.409973,945.020020,930.330994,459400
2024-09-27,945.469971,950.349976,942.099976,945.210022,930.518005,472500
2024-09-30,944.289978,951.270020,935.969971,949.510010,934.751221,362200
2024-10-01,945.320007,945.320007,918.960022,934.020020,919.502014,543800
2024-10-02,939.869995,957.280029,933.000000,957.250000,942.370850,368200
2024-10-03,953.570007,958.630005,949.489990,951.489990,936.700378,511100
2024-10-04,960.739990,960.739990,931.030029,949.190002,934.436157,491700
2024-10-07,952.000000,956.820007,937.960022,940.669983,926.048584,561400
2024-10-08,951.549988,955.359985,942.280029,949.070007,934.318054,389000
2024-10-09,950.000000,962.950012,947.979980,955.919983,941.061584,573200
2024-10-10,955.000000,963.330017,953.619995,955.590027,940.736694,564400
2024-10-11,963.210022,996.289978,963.150024,990.260010,974.867798,927500
2024-10-14,999.169983,1001.450012,989.190002,991.719971,976.305054,768400
2024-10-15,998.000000,1016.450012,996.119995,1007.000000,991.347595,618800
2024-10-16,1004.150024,1019.219971,1004.150024,1015.750000,999.961609,547100
2024-10-17,1023.599976,1032.000000,1001.640015,1002.500000,986.917480,684700
2024-10-18,1009.479980,1009.479980,998.380005,1007.020020,991.367249,505400
2024-10-21,1005.000000,1008.580017,997.210022,1000.530029,984.978271,311200
2024-10-22,997.109985,1003.869995,990.789978,1000.809998,985.253845,504400
2024-10-23,997.049988,1008.640015,982.669983,988.159973,972.800415,441400
2024-10-24,991.039978,992.030029,983.229980,984.000000,968.705139,353600
2024-10-25,987.349976,987.349976,968.950012,974.070007,958.929443,433500
2024-10-28,982.000000,989.450012,979.010010,986.219971,970.890625,329400
2024-10-29,985.000000,989.770020,979.130005,983.169983,967.888000,269500
2024-10-30,985.520020,998.000000,978.960022,979.869995,964.639282,427900
2024-10-31,970.159973,986.070007,969.539978,981.030029,965.781311,607800
2024-11-01,984.000000,991.969971,980.229980,985.080017,969.768372,792000
2024-11-04,979.140015,992.010010,976.049988,991.500000,976.088562,512500
2024-11-05,992.000000,1017.690002,992.000000,1014.349976,998.583313,424800
2024-11-06,1046.260010,1057.510010,1000.000000,1029.819946,1013.812805,1266900
2024-11-07,1039.989990,1044.949951,1032.400024,1036.060059,1019.955994,528700
2024-11-08,1040.979980,1050.439941,1036.670044,1039.280029,1023.125854,454500
2024-11-11,1048.829956,1068.339966,1047.500000,1053.839966,1037.459473,681500
2024-11-12,1054.199951,1057.079956,1033.589966,1036.349976,1020.241455,489900
2024-11-13,1038.369995,1043.650024,1026.180054,1030.979980,1014.954895,408800
2024-11-14,1040.709961,1058.890015,1037.199951,1047.079956,1030.804565,1048700
2024-11-15,1038.489990,1052.510010,1035.010010,1047.369995,1031.090210,583400
2024-11-18,1038.579956,1053.219971,1037.400024,1049.969971,1033.649658,563200
2024-11-19,1042.000000,1044.310059,1027.589966,1028.109985,1012.129456,673500
2024-11-20,1032.349976,1036.699951,1018.000000,1024.670044,1008.742920,593700
2024-11-21,1034.729980,1039.430054,1024.599976,1028.000000,1012.021118,473100
2024-11-22,1033.000000,1041.939941,1028.500000,1036.459961,1020.349670,713000
2024-11-25,1048.839966,1049.000000,1030.569946,1031.489990,1015.456970,1463700
2024-11-26,1032.050049,1038.319946,1018.200012,1026.479980,1010.524780,772700
2024-11-27,1029.550049,1034.000000,1018.039978,1019.450012,1003.604065,481900
2024-11-29,1020.820007,1029.319946,1020.820007,1022.799988,1006.902039,390000
2024-12-02,1026.550049,1033.650024,1012.869995,1020.109985,1004.253845,719600
2024-12-03,1031.089966,1046.290039,1021.000000,1039.000000,1022.850220,941700
2024-12-04,1038.000000,1039.380005,1012.479980,1035.000000,1018.912415,1029500
2024-12-05,1030.000000,1057.609985,1028.530029,1044.780029,1033.633667,880500
2024-12-06,1044.420044,1053.229980,1038.349976,1042.869995,1031.744019,550300
2024-12-09,1049.969971,1055.819946,1043.250000,1046.380005,1035.216553,742600
2024-12-10,1049.859985,1064.849976,1045.910034,1057.069946,1045.792358,645000
2024-12-11,1061.140015,1082.449951,1060.280029,1065.260010,1053.895142,1139700
2024-12-12,1068.189941,1074.050049,1051.219971,1058.819946,1047.523682,687100
2024-12-13,1056.859985,1061.439941,1052.329956,1056.540039,1045.268188,537300
2024-12-16,1059.380005,1071.979980,1056.500000,1064.650024,1053.291626,897800
2024-12-17,1056.020020,1059.750000,1038.270020,1049.219971,1038.026123,990400
2024-12-18,1049.219971,1061.000000,1018.960022,1020.299988,1009.414734,864900
2024-12-19,1040.520020,1040.880005,1014.950012,1016.330017,1005.487122,796300
2024-12-20,1007.640015,1036.770020,1001.979980,1028.689941,1017.715210,2079800
2024-12-23,1025.890015,1041.359985,1023.359985,1039.699951,1028.607788,488100
2024-12-24,1041.640015,1054.829956,1036.670044,1054.829956,1043.576416,276600
2024-12-26,1045.000000,1057.489990,1045.000000,1054.280029,1043.032227,292100
2024-12-27,1048.000000,1055.439941,1040.260010,1044.180054,1033.040039,337100
2024-12-30,1032.810059,1036.050049,1021.479980,1027.430054,1016.468750,591700
2024-12-31,1030.810059,1034.130005,1019.539978,1025.109985,1014.173462,619400
2025-01-02,1030.000000,1032.099976,1012.000000,1017.400024,1006.545715,604500
